,Name,Categories,City,Latitude,Longitude
399,Nancy's Chicago Pizza,Pizza Place,East Point,33.65769947013644,-84.50046908294554
400,Volare,Italian Restaurant,Hapeville,33.65889960673664,-84.40881692648153
401,Chick-fil-A,Fast Food Restaurant,Hapeville,33.6563816,-84.4040053
402,Delta 747 Museum,Museum,Atlanta,33.656962,-84.421723
403,Arden's Garden,Juice Bar,East Point,33.670421153934356,-84.44368272171563
404,Coach Factory Outlet,Accessories Store,Locust Grove,33.35091069516513,-84.12293923873104
405,Mellow Mushroom,Pizza Place,Conyers,33.637902,-84.013884
406,Tin Plate,New American Restaurant,Conyers,33.66652160028917,-84.0174369666633
407,Arizona's,Steakhouse,Lithonia,33.69835548821757,-84.08944872456131
408,Chick-fil-A,Fast Food Restaurant,Covington,33.603535,-83.86581
409,Wild Heaven Beer,Brewery,Decatur,33.77658226354855,-84.27578150933913
410,No. 246,Italian Restaurant,Decatur,33.77553761696676,-84.29534945135546
411,Stone Mountain Summit,Mountain,Stone Mountain,33.805537530807946,-84.14532636919057
412,Southern Sweets Bakery,Bakery,Decatur,33.780256283408434,-84.26973870835896
413,Stone Mountain Park,Theme Park,Stone Mountain,33.811935328649334,-84.14733439077375
